Word,Max,Expected,Median,25th Perc,75th Perc
GOUTY,184,65.0193740685544,43.0,17.0,103.0
BOOLS,184,65.07451564828614,47.0,25.0,109.0
CHUGS,190,65.10581222056632,35.0,14.0,104.0
SLOMO,161,65.15350223546945,53.0,29.0,99.0
FOCUS,183,65.16840536512667,39.0,16.0,96.0
NUTSY,206,65.17287630402384,53.0,13.0,81.0
COWPS,181,65.24292101341281,48.0,17.0,111.0
GOOLS,187,65.24441132637854,50.0,23.0,105.0
CHUMS,194,65.2608047690015,34.0,11.0,92.0
LOFTY,191,65.31743666169896,49.0,16.0,93.0
SPOTS,167,65.4053651266766,39.0,24.0,106.0
GULFS,182,65.42921013412817,47.0,15.25,83.0
TOMOS,188,65.4865871833085,44.0,19.0,103.0
FLOSH,156,65.52757078986588,45.0,18.0,117.0
PLOPS,156,65.5558867362146,54.0,19.0,101.0
MOTHY,180,65.72429210134128,45.0,15.0,111.0
BOULT,192,65.78688524590164,43.0,17.0,84.0
NOBLY,187,65.82861400894188,50.0,15.0,105.0
BUNKS,191,65.84649776453055,41.0,16.0,79.0
KOTOS,174,66.00894187779434,50.0,22.0,100.0
HULKY,182,66.29210134128166,69.0,14.5,89.0
STOOK,152,66.30923994038749,56.0,29.75,95.0
CHOWS,155,66.34426229508196,46.0,15.0,119.0
COLLS,180,66.3628912071535,47.0,22.0,102.0
SHOON,177,66.36512667660209,51.0,27.0,116.0
YUMPS,210,66.39344262295081,47.0,13.0,87.0
YOCKS,195,66.49329359165425,54.0,17.0,97.0
YUFTS,207,66.50968703427719,42.0,17.0,88.0
TOKOS,174,66.53427719821163,53.0,25.75,100.0
BOOTS,192,66.53949329359165,50.0,21.0,100.0
VULNS,175,66.59016393442623,51.0,23.0,79.0
POONS,194,66.66244411326379,43.0,20.0,110.0
BOLOS,184,66.69970193740686,43.0,21.0,110.0
MUHLY,186,66.7391952309985,65.0,15.25,88.0
SHOTS,169,66.74590163934427,47.0,20.0,112.0
GLOUT,146,66.80178837555887,62.0,18.0,132.0
PONCY,197,66.85543964232488,41.0,14.0,104.0
COONS,196,66.8666169895678,50.0,18.0,114.0
TOCKY,180,67.05067064083458,65.0,17.0,106.0
SCOWP,165,67.07898658718331,53.0,26.0,117.0
HOONS,200,67.07898658718331,46.0,26.0,116.0
MUCKS,194,67.08047690014904,39.0,14.0,82.0
POLLS,179,67.16542473919523,50.0,20.0,101.0
STOPS,167,67.22429210134128,63.0,20.0,106.0
SKOOL,159,67.26378539493294,46.0,32.0,104.0
MOLLS,176,67.33830104321908,51.0,22.0,93.0
HUCKS,195,67.40983606557377,33.0,11.0,86.0
NOOPS,194,67.44485842026826,45.0,19.0,110.0
TOHOS,198,67.46050670640835,37.0,22.0,112.0
STONN,154,67.60506706408346,59.0,24.0,110.0
BOTHY,186,67.63487332339791,49.0,16.0,111.0
GUCKS,190,67.68405365126677,44.0,14.5,86.0
NULLS,176,67.7645305514158,55.0,24.0,81.0
SCUFT,182,67.77943368107303,56.0,15.0,103.0
FLUBS,185,67.80923994038749,53.0,18.0,91.0
MONTH,205,67.95529061102832,37.0,18.0,122.5
SNOOP,176,67.98956780923994,51.0,26.0,120.0
MOONS,191,68.02533532041728,49.0,21.0,106.0
SHOTT,169,68.06035767511177,50.0,26.0,105.0
BOSUN,180,68.17287630402384,44.0,17.0,112.0
GOTHY,187,68.25335320417288,52.0,17.0,113.0
SULLY,188,68.37853949329359,56.0,25.0,91.0
LOBOS,184,68.4575260804769,53.0,23.0,110.0
BUNGS,197,68.54396423248882,44.0,15.0,86.0
SPOON,176,68.5521609538003,51.0,31.0,120.0
YOGHS,212,68.55886736214605,44.0,16.0,97.0
KUMYS,211,68.56929955290612,46.0,16.0,74.0
SOULS,191,68.76304023845007,42.0,22.0,116.0
GUNKS,195,68.88524590163935,44.0,12.0,149.0
FLOWS,152,68.9150521609538,54.0,18.0,105.0
MONOS,191,68.91654247391952,58.0,22.0,106.0
LOGOS,187,68.98137108792847,55.0,26.0,105.0
TUSKY,215,68.99403874813711,42.0,17.0,82.0
SNUCK,184,69.05514157973174,43.0,16.0,111.0
KNOWS,141,69.08196721311475,61.0,20.0,110.0
BLUSH,206,69.11475409836065,46.0,15.0,86.0
STOPT,167,69.1602086438152,63.0,18.0,107.0
